;User;Rule Name;Goal;ECA;Environment;Object/service;Functionality;Operator;Value;Next Operator;Context;Class
494;23;Cena in famiglia;social/comfort;evento;living room;movimento;rilevato movimento;uguale;TRUE;And;cena programmata;presence
495;23;Cena in famiglia;social/comfort;condizione;no;Calendario;Evento programmato oggi;uguale;"""Cena in famiglia""";And;cena programmata;scheduling
496;23;Cena in famiglia;social/comfort;condizione;no;Data e ora;data e ora;uguale;Oggi tra le 20:00 e le 24:00;;cena programmata;scheduling
497;23;Cena in famiglia;social/comfort;azione;living room;Luci;Accensione luci soffuse;uguale;TRUE;And;cena programmata;lights
498;23;Cena in famiglia;social/comfort;azione;living room;Musica;Avvio playlist sottofondo;uguale;TRUE;And;cena programmata;device
499;23;Cena in famiglia;social/comfort;azione;living room;Aspiratore aria;Attivazione;uguale;TRUE;;cena programmata;hygiene
500;24;Avviso acqua;wellbeing;Condizione;kitchen;Dispenser dacqua;Rilevato peso;minore;80 grammi;;;feeding
501;24;Avviso acqua;wellbeing;Azione;kitchen;Schermo frigo;Avviso;uguale;Acqua in esaurimento;;;notification
502;24;Non far abbaiare i cani;comfort;condizione;home;Sensore abitanti;Presenza;uguale;FALSE;;;presence
503;24;Non far abbaiare i cani;comfort;azione;no;Citofono;Volume;uguale;0;And;;device
504;24;Non far abbaiare i cani;comfort;azione;no;Telefono;Volume;uguale;0;;;device
505;24;Trova telecomando;comfort;evento;living room;Microfono;Rilevato input vocale;uguale;Dovè il telecomando?;And;;user detection
506;24;Trova telecomando;comfort;condizione;no;Sensore abitanti;Presenza;uguale;TRUE;;;presence
507;24;Trova telecomando;comfort;azione;no;Telecomando;Segnale sonoro;uguale;TRUE;;;notification
508;24;Sveglia figlio;comfort;Condizione;no;Calendario;Tipo di giorno;uguale;Feriale;And;;scheduling
509;24;Sveglia figlio;comfort;Condizione;no;Orario;Tipo di ora;uguale;07:00;;;scheduling
510;24;Sveglia figlio;comfort;azione;kid room;Alexa;Canzone Amazon Music;uguale;What a Wonderful World;And;;device
511;24;Sveglia figlio;comfort;azione;kid room;Tapparelle;Apertura;uguale;TRUE;;;doors and windows
512;24;Rientro tardi;safety;evento;living room;Porta;Rilevazione apertura;uguale;TRUE;And;;doors and windows
513;24;Rientro tardi;safety;condizione;no;Orario;Tipo di ora;tra;23:00 - 6:99;;;scheduling
514;24;Rientro tardi;safety;azione;living room;Luci;Attivazione soffusa;uguale;TRUE;;;lights
